Suburb,Lattitude,Longtitude
Abbotsford,-37.80433892857143,144.9971757142857
Aberfeldie,-37.759280227272725,144.8975875
Airport West,-37.72339895522388,144.8796352238806
Albanvale,-37.74564,144.77087833333334
Albert Park,-37.844127101449274,144.95310695652174
Albion,-37.78080097560976,144.81961268292682
Alphington,-37.77732352941177,145.02950764705884
Altona,-37.86705918918919,144.82091648648648
Altona Meadows,-37.88054,144.78199166666667
Altona North,-37.83493910714286,144.84947232142858
Ardeer,-37.776873333333334,144.80037666666666
Armadale,-37.856802,145.0193372631579
Ascot Vale,-37.77613053846154,144.91559746153845
Ashburton,-37.867124,145.079874
Ashwood,-37.86616869565217,145.10471152173915
Aspendale,-38.020538571428574,145.09923142857141
Aspendale Gardens,-38.02145,145.12093
Attwood,-37.67379,144.89826
Avondale Heights,-37.76107783783784,144.86034918918918
Bacchus Marsh,-37.67344,144.43181
Balaclava,-37.87080777777778,144.99501518518517
Balwyn,-37.809205794392525,145.08150990654207
Balwyn North,-37.79339081871345,145.08576532163744
Bayswater,-37.84829071428572,145.25920785714285
Bayswater North,-37.8266325,145.2864275
Beaconsfield,-38.051410000000004,145.377015
Beaconsfield Upper,-38.00224,145.41081
Beaumaris,-37.982020000000006,145.04107611111112
Bellfield,-37.752405,145.041133125
Bentleigh,-37.92356366906475,145.0401382733813
Bentleigh East,-37.92065626506024,145.06779004016065
Berwick,-38.04479,145.34532000000002
Black Rock,-37.9741725,145.02075
Blackburn,-37.819678095238096,145.15174952380954
Blackburn North,-37.80594357142858,145.1541357142857
Blackburn South,-37.838294166666664,145.14537416666667
Bonbeach,-38.065,145.1227525
Boronia,-37.85917642857142,145.27461285714284
Box Hill,-37.82342271186441,145.12737779661015
Braybrook,-37.785771304347826,144.8520847826087
Briar Hill,-37.707005,145.119535
Brighton,-37.91052924731183,144.99808639784945
Brighton East,-37.917972463768116,145.01720557971015
Broadmeadows,-37.68580565217392,144.92595608695652
Brookfield,-37.69104,144.54532
Brooklyn,-37.821847777777776,144.84274444444446
Brunswick,-37.76659144144144,144.96185270270269
Brunswick East,-37.77095340909091,144.97589522727273
Brunswick West,-37.76308127272727,144.94322481818182
Bulleen,-37.770286197183104,145.0922976056338
Bullengarook,-37.50087,144.48571
Bundoora,-37.69636805555555,145.06243555555557
Burnley,-37.829075714285715,145.01017714285715
Burnside,-37.748715,144.75114000000002
Burnside Heights,-37.73291666666666,144.75901
Burwood,-37.85147761904762,145.1121619047619
Burwood East,-37.85475875,145.1478825
Cairnlea,-37.757535714285716,144.78196857142856
Camberwell,-37.839217272727275,145.07381621212122
Campbellfield,-37.676050000000004,144.964495
Canterbury,-37.82480759259259,145.07616185185185
Carlton,-37.7983862745098,144.96710725490198
Carlton North,-37.785738125,144.97314479166667
Carnegie,-37.893419589041095,145.0566698630137
Caroline Springs,-37.73321545454545,144.73741727272727
Carrum,-38.076815555555555,145.1299988888889
Carrum Downs,-38.10061833333334,145.182785
Caulfield,-37.8861825,145.02754000000002
Caulfield East,-37.88424666666666,145.0464511111111
Caulfield North,-37.86720342857143,145.021622
Caulfield South,-37.894163404255316,145.02217127659574
Chadstone,-37.881823714285716,145.10026542857142
Chelsea,-38.04978,145.12044
Chelsea Heights,-38.04074,145.134655
Cheltenham,-37.965079347826084,145.06829913043478
Chirnside Park,-37.758835000000005,145.31079
Clarinda,-37.9369425,145.1057225
Clayton,-37.92150384615385,145.1259076923077
Clayton South,-37.93871545454545,145.12056
Clifton Hill,-37.79123280701754,144.99607263157895
Coburg,-37.74508352631579,144.962669
Coburg North,-37.727713214285714,144.97146767857143
Collingwood,-37.800347076923074,144.98778707692307
Coolaroo,-37.6590575,144.932115
Craigieburn,-37.585685957446806,144.9191455319149
Cranbourne,-38.094069999999995,145.28486333333333
Cranbourne North,-38.075500000000005,145.295095
Cremorne,-37.8284724,144.9915732
Croydon,-37.79468666666667,145.28230333333335
Croydon Hills,-37.778282499999996,145.26529
Croydon North,-37.76952285714286,145.2873757142857
Croydon South,-37.81263,145.27588
Dallas,-37.67081166666667,144.936735
Dandenong,-37.98256,145.21832307692307
Dandenong North,-37.958285625,145.2103425
Deepdene,-37.81075,145.0695
Deer Park,-37.76606357142857,144.76772642857142
Delahey,-37.718088333333334,144.77085166666666
Derrimut,-37.792028,144.76322599999997
Diamond Creek,-37.671591666666664,145.156745
Diggers Rest,-37.62448,144.714815
Dingley Village,-37.979082857142856,145.12771190476192
Docklands,-37.817433333333334,144.94320000000002
Doncaster,-37.785088275862066,145.12388965517243
Doncaster East,-37.78458463414634,145.1600756097561
Donvale,-37.78971846153846,145.18460769230768
Doreen,-37.598125,145.11730500000002
Doveton,-37.993159999999996,145.2348542857143
Eaglemont,-37.763763043478264,145.05985391304347
East Melbourne,-37.81474818181818,144.984865
Edithvale,-38.036453333333334,145.11804222222224
Elsternwick,-37.88641704918033,145.00693967213115
Eltham,-37.7119128,145.1535268
Eltham North,-37.699114615384616,145.13940384615384
Elwood,-37.880157709923665,144.9875475572519
Emerald,-37.93064,145.4453
Endeavour Hills,-37.97887,145.26476
Epping,-37.64025115384615,145.03496153846154
Essendon,-37.74993959090909,144.9095839090909
Essendon North,-37.73900272727273,144.90180727272727
Essendon West,-37.75253730769231,144.88615346153847
Fairfield,-37.7747734883721,145.0191088372093
Fawkner,-37.706467352941175,144.9681567647059
Ferntree Gully,-37.884893636363635,145.27579136363636
Fitzroy,-37.79859677966102,144.97985694915255
Fitzroy North,-37.7841823655914,144.98281268817203
Flemington,-37.78435774193549,144.92887725806452
Footscray,-37.79604348484848,144.8926928030303
Forest Hill,-37.83859590909091,145.17144772727272
Frankston,-38.14840875,145.14467625
Frankston North,-38.1195625,145.153245
Frankston South,-38.16502375,145.119525
Gardenvale,-37.898415,145.009905
Gisborne,-37.49732375,144.59270625
Gladstone Park,-37.68868,144.8917055
Glen Huntly,-37.890000588235296,145.04247705882355
Glen Iris,-37.85553205128205,145.06580112820512
Glen Waverley,-37.88537511111111,145.16526000000002
Glenroy,-37.703266981132074,144.92509452830188
Gowanbrae,-37.70553625,144.89703875
Greensborough,-37.70185722222222,145.1059563888889
Greenvale,-37.63768941176471,144.8949629411765
Hadfield,-37.709525806451616,144.94476387096776
Hallam,-38.00273,145.26932200000002
Hampton,-37.93867161538462,145.00983607692308
Hampton East,-37.93896,145.03107400000002
Hampton Park,-38.03403,145.26075500000002
Hawthorn,-37.82233513089005,145.0308572251309
Hawthorn East,-37.83016630252101,145.05109537815127
Healesville,-37.64685,145.52635
Heathmont,-37.82861875,145.240183125
Heidelberg,-37.75130862745098,145.06798588235293
Heidelberg Heights,-37.74212948717949,145.05265294871793
Heidelberg West,-37.74037184210526,145.0415361842105
Highett,-37.949650000000005,145.03755814814815
Hillside,-37.69141833333333,144.74521444444446
Hoppers Crossing,-37.869713157894736,144.6929902631579
Hughesdale,-37.89907228571428,145.08089057142857
Huntingdale,-37.90705571428572,145.10846999999998
Hurstbridge,-37.63763,145.20038
Ivanhoe,-37.765907551020405,145.04192540816328
Ivanhoe East,-37.773644399999995,145.0591164
Jacana,-37.6870988,144.9112292
Kealba,-37.7353147368421,144.82481473684211
Keilor,-37.71879333333333,144.82888
Keilor Downs,-37.722172666666665,144.806726
Keilor East,-37.741838016528924,144.865956446281
Keilor Lodge,-37.69921,144.797575
Keilor Park,-37.722863181818184,144.85755272727272
Kensington,-37.7934505982906,144.92760094017095
Kew,-37.80488666666667,145.03934175141242
Kew East,-37.793859387755106,145.05317612244897
Keysborough,-37.993984545454545,145.1626518181818
Kilsyth,-37.8006575,145.3146825
Kings Park,-37.73202,144.776828
Kingsbury,-37.71461615384615,145.03426384615383
Kingsville,-37.80878088235294,144.8803838235294
Knoxfield,-37.881315,145.250995
Kooyong,-37.842304999999996,145.03403
Kurunjang,-37.6692375,144.5919075
Lalor,-37.668440476190476,145.01921333333334
Langwarrin,-38.15391833333333,145.19601166666666
Lower Plenty,-37.72619,145.115524
Maidstone,-37.784705,144.87499914893618
Malvern,-37.8590295522388,145.03531119402984
Malvern East,-37.87593017094017,145.06151538461538
Maribyrnong,-37.775858229166666,144.888325625
McKinnon,-37.910174999999995,145.0341475
Meadow Heights,-37.652452352941175,144.9197194117647
Melbourne,-37.81283456521739,144.96347695652176
Melton,-37.684795,144.577325
Melton South,-37.70351111111111,144.5739972222222
Melton West,-37.67522625,144.55608875000001
Mentone,-37.98122884615385,145.07228230769232
Mernda,-37.60188,145.08834333333334
